CO_IES;SG_UF;NO_MUNICIPIO;NO_CINE_ROTULO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;NO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;NO_CINE_AREA_DETALHADA;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;SP;Bauru;Fonoaudiologia;"""0915F02""";09;Saúde e bem-estar;091;Saúde;0915;Promoção, prevenção, terapia e reabilitação;28;25;3;0;28;0;0;0;0;0;1;0;0;0;0;0;32;31;1;0;26;4;0;1;0;0;25;1;2;0;0;0;2013
55;SP;Bauru;Odontologia;"""0911O01""";09;Saúde e bem-estar;091;Saúde;0911;Odontologia;50;32;18;0;49;1;0;0;0;0;27;0;3;2;0;0;38;24;14;0;36;1;0;0;0;0;31;1;3;1;0;0;2013
55;SP;Lorena;Engenharia ambiental;"""0712E01""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0712;Tecnologia de proteção ambiental;38;17;21;2;35;1;0;0;0;0;25;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Lorena;Engenharia bioquímica;"""0711E01""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0711;Engenharia química e de processos;38;20;18;1;36;1;0;0;0;0;17;0;4;4;0;1;20;12;8;0;9;11;0;0;0;0;12;1;2;1;0;0;2013
55;SP;Lorena;Engenharia de materiais;"""0722E01""";07;Engenharia, produção e construção;072;Produção e processamento;0722;Materiais;44;13;31;1;42;1;0;0;0;0;29;1;3;1;0;0;22;8;14;0;5;16;1;0;0;0;12;0;1;0;0;0;2013
55;SP;Lorena;Engenharia de produção;"""0725E02""";07;Engenharia, produção e construção;072;Produção e processamento;0725;Produção e processos de fabricação;42;15;27;2;39;0;0;0;0;0;22;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Lorena;Engenharia física;"""0715E01""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0715;Engenharia mecânica e metalurgia;38;5;33;0;38;0;0;0;0;0;17;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Lorena;Engenharia química;"""0711E05""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0711;Engenharia química e de processos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;16;20;0;6;24;1;2;0;0;15;0;1;1;0;0;2013
55;SP;Lorena;Engenharia química;"""0711E05""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0711;Engenharia química e de processos;158;69;89;1;156;1;0;0;0;0;105;1;8;7;0;1;59;28;31;0;33;25;0;0;0;0;39;0;5;3;0;0;2013
55;SP;Piracicaba;Ciências agrárias formação de professor;"""0114C01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);3;1;2;0;2;1;0;0;0;0;3;0;0;0;0;0;27;17;10;0;13;12;0;0;0;0;18;0;2;0;0;0;2013
55;SP;Piracicaba;Biologia formação de professor;"""0114B01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;4;0;10;5;0;0;0;0;13;0;0;0;0;0;2013
55;SP;Piracicaba;Biologia;"""0511B01""";05;Ciências naturais, matemática e estatística;051;Ciências biológicas e correlatas;0511;Biologia;31;18;13;0;28;2;0;0;0;0;1;0;0;0;0;0;27;18;9;0;20;6;0;0;0;0;20;0;2;1;0;0;2013
55;SP;Piracicaba;Alimentos;"""0721A01""";07;Engenharia, produção e construção;072;Produção e processamento;0721;Processamento de alimentos;40;33;7;0;39;0;0;1;0;0;2;0;0;0;0;0;18;17;1;0;11;7;0;0;0;0;14;0;2;0;0;0;2013
55;SP;Piracicaba;Economia;"""0311E01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0311;Economia;46;18;28;0;44;1;1;0;0;0;1;0;0;0;0;0;47;22;25;0;33;12;0;0;1;0;31;0;6;1;0;0;2013
55;SP;Piracicaba;Agronomia;"""0811A04""";08;Agricultura, silvicultura, pesca e veterinária;081;Agricultura;0811;Produção agrícola, agropecuária e zootecnia;201;73;128;2;192;6;1;0;0;0;10;0;0;0;0;2;190;69;121;0;120;68;0;0;0;0;134;1;10;9;0;9;2013
55;SP;Piracicaba;Engenharia florestal;"""0821E01""";08;Agricultura, silvicultura, pesca e veterinária;082;Silvicultura;0821;Silvicultura;41;18;23;0;38;2;1;0;0;0;3;0;0;0;0;0;32;16;16;0;16;13;0;0;0;0;28;0;0;0;0;0;2013
55;SP;Piracicaba;Gestão ambiental;"""0712G01""";07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0712;Tecnologia de proteção ambiental;41;24;17;0;38;2;0;0;0;0;2;0;1;0;0;0;32;23;9;0;22;10;0;0;0;0;23;0;2;3;0;0;2013
55;SP;Pirassununga;Engenharia de alimentos;"""0721E01""";07;Engenharia, produção e construção;072;Produção e processamento;0721;Processamento de alimentos;104;81;23;1;101;2;0;0;0;0;6;0;0;0;0;4;81;60;21;0;32;47;0;0;0;0;37;3;1;7;0;0;2013
55;SP;Pirassununga;Engenharia de biossistemas;"""0811E02""";08;Agricultura, silvicultura, pesca e veterinária;081;Agricultura;0811;Produção agrícola, agropecuária e zootecnia;62;27;35;0;58;3;0;1;0;0;0;0;0;0;0;1;4;1;3;0;3;1;0;0;0;0;4;0;0;0;0;0;2013
55;SP;Pirassununga;Medicina veterinária;"""0841M01""";08;Agricultura, silvicultura, pesca e veterinária;084;Veterinária;0841;Veterinária;71;52;19;0;67;3;0;0;0;0;3;0;3;0;0;1;13;10;3;0;6;6;0;0;0;0;8;0;1;0;0;0;2013
55;SP;Pirassununga;Zootecnia;"""0811Z01""";08;Agricultura, silvicultura, pesca e veterinária;081;Agricultura;0811;Produção agrícola, agropecuária e zootecnia;44;29;15;0;44;0;0;0;0;0;3;0;0;0;0;0;33;19;14;0;16;15;0;0;0;0;16;1;3;3;0;1;2013
55;SP;Ribeirão Preto;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;38;24;14;0;36;2;0;0;0;0;20;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;ABI Ciências sociais, comunicação e informação;"""0011A03""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;67;32;35;0;65;1;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;ABI Saúde e bem-estar;"""0011A09""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;68;25;43;0;61;3;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;ABI Saúde e bem-estar;"""0011A09""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;99;37;62;2;96;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;ABI Artes e humanidades;"""0011A02""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;4;1;3;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;ABI Ciências naturais, matemática e estatística;"""0011A05""";00;Programas básicos;001;Programas básicos;0011;Programas básicos;59;28;31;0;57;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Administração;"""0413A01""";04;Negócios, administração e direito;041;Negócios e administração;0413;Gestão e administração;104;39;65;0;102;2;0;0;0;0;13;0;1;0;0;0;86;39;47;0;52;33;0;0;0;0;68;1;1;3;0;0;2013
55;SP;Ribeirão Preto;Biologia formação de professor;"""0114B01""";01;Educação;011;Educação;0114;Formação de professores em áreas específicas (exceto Letras);30;23;7;0;30;0;0;0;0;0;17;1;1;1;0;0;16;10;6;0;13;3;0;0;0;0;12;0;1;0;0;0;2013
55;SP;Ribeirão Preto;Biologia;"""0511B01""";05;Ciências naturais, matemática e estatística;051;Ciências biológicas e correlatas;0511;Biologia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;12;11;0;19;4;0;0;0;0;21;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Biomedicina;"""0914B01""";09;Saúde e bem-estar;091;Saúde;0914;Tecnologia de diagnóstico e tratamento médico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;SP;Ribeirão Preto;Contabilidade;"""0411C01""";04;Negócios, administração e direito;041;Negócios e administração;0411;Contabilidade e tributação;41;15;26;0;36;2;1;0;0;0;7;0;2;0;0;0;36;17;19;0;10;22;0;0;0;0;26;0;2;3;0;0;2013
55;SP;Ribeirão Preto;Biblioteconomia;"""0322B01""";03;Ciências sociais, comunicação e informação;032;Comunicação e informação;0322;Ciência da informação e museologia;27;17;10;0;20;2;3;0;1;0;3;0;0;0;0;0;28;22;6;0;13;10;1;0;0;0;18;1;3;0;0;0;2013
55;SP;Ribeirão Preto;Economia;"""0311E01""";03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0311;Economia;46;10;36;0;44;2;0;0;0;0;4;0;0;2;0;0;37;4;33;0;15;20;2;0;0;0;24;0;4;2;0;0;2013
55;SP;Ribeirão Preto;Direito;"""0421D01""";04;Negócios, administração e direito;042;Direito;0421;Direito;105;48;57;0;101;3;1;0;0;0;4;0;0;1;0;2;71;34;37;0;49;21;0;0;0;0;55;1;4;5;0;0;2013
