CO_IES;NO_CINE_ROTULO;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_NACESTRANG;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_NACESTRANG;ANO
55;Engenharia ambiental;38;17;21;2;35;1;0;0;0;0;25;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Engenharia bioquímica;38;20;18;1;36;1;0;0;0;0;17;0;4;4;0;1;20;12;8;0;9;11;0;0;0;0;12;1;2;1;0;0;2013
55;Engenharia de materiais;44;13;31;1;42;1;0;0;0;0;29;1;3;1;0;0;22;8;14;0;5;16;1;0;0;0;12;0;1;0;0;0;2013
55;Engenharia de produção;42;15;27;2;39;0;0;0;0;0;22;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Engenharia física;38;5;33;0;38;0;0;0;0;0;17;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Engenharia química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;16;20;0;6;24;1;2;0;0;15;0;1;1;0;0;2013
55;Engenharia química;158;69;89;1;156;1;0;0;0;0;105;1;8;7;0;1;59;28;31;0;33;25;0;0;0;0;39;0;5;3;0;0;2013
55;Ciências agrárias formação de professor;3;1;2;0;2;1;0;0;0;0;3;0;0;0;0;0;27;17;10;0;13;12;0;0;0;0;18;0;2;0;0;0;2013
55;Engenharia florestal;41;18;23;0;38;2;1;0;0;0;3;0;0;0;0;0;32;16;16;0;16;13;0;0;0;0;28;0;0;0;0;0;2013
55;Engenharia de alimentos;104;81;23;1;101;2;0;0;0;0;6;0;0;0;0;4;81;60;21;0;32;47;0;0;0;0;37;3;1;7;0;0;2013
55;Engenharia de biossistemas;62;27;35;0;58;3;0;1;0;0;0;0;0;0;0;1;4;1;3;0;3;1;0;0;0;0;4;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;38;24;14;0;36;2;0;0;0;0;20;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;59;28;31;0;57;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Educação física;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5;20;0;19;4;1;1;0;0;15;0;7;1;0;0;2013
55;Educação física;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;7;0;14;0;0;0;0;0;10;1;1;0;0;0;2013
55;Física médica;42;15;27;0;35;5;0;0;0;0;0;0;0;0;0;0;22;2;20;0;9;11;0;0;0;1;13;0;2;1;0;0;2013
55;Matemática aplicada e computacional;45;23;22;0;43;0;0;0;0;0;22;0;3;2;0;0;20;11;9;0;11;9;0;0;0;0;11;0;3;4;0;1;2013
55;Química formação de professor;38;24;14;0;34;2;0;1;0;0;2;0;1;0;0;0;16;10;6;0;6;9;0;0;0;0;10;1;2;0;0;0;2013
55;Química;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;7;8;0;11;4;0;0;0;0;12;1;0;0;0;0;2013
55;Química;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;9;11;0;17;3;0;0;0;0;15;0;1;0;0;0;2013
55;Química industrial e tecnológica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;7;0;14;2;0;0;0;0;13;0;4;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;33;15;18;0;26;4;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Engenharia, produção e construção;49;6;43;0;48;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;18;4;14;0;16;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;25;7;18;0;22;2;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;ABI Ciências naturais, matemática e estatística;59;26;33;0;57;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2013
55;Ciência da computação;133;16;117;1;127;4;1;0;0;0;18;0;0;0;0;1;77;10;67;0;45;30;0;0;0;0;49;0;5;9;0;1;2013
55;Física formação de professor;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;8;2;6;0;3;2;0;1;0;0;5;1;0;0;0;0;2013
55;Matemática formação de professor;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;6;2;4;0;3;3;0;0;0;0;5;0;1;0;0;0;2013
55;Química formação de professor;3;3;0;0;1;2;0;0;0;0;2;0;1;0;0;0;3;0;3;0;1;2;0;0;0;0;1;0;0;1;0;0;2013
55;Física aplicada;35;17;18;0;34;0;1;0;0;0;2;0;0;0;0;0;22;14;8;0;17;5;0;0;0;0;19;0;0;1;0;0;2013
55;Engenharia aeronáutica;42;9;33;0;41;1;0;0;0;0;1;0;0;0;0;1;27;1;26;0;22;5;0;0;0;0;23;0;1;2;0;0;2013
